year,ami_group,region,tenure,total_hh,total_hh_se
2014,80-100,1,Rent,4802,937.0892322209635
2014,80-100,2,Own,10624,1310.6641717451798
2014,80-100,2,Rent,5013,1118.9572235987746
2014,80-100,3,Own,110843,3876.3663415913857
2014,80-100,3,Rent,64958,3547.095841597923
2014,80-100,4,Own,5791,723.4997920490886
2014,80-100,4,Rent,2757,674.8839323441626
2014,100+,1,Own,48097,2588.460028783537
2014,100+,1,Rent,12546,1637.2864375341053
2014,100+,2,Own,47857,2746.2230489885264
2014,100+,2,Rent,8968,1101.8752746576988
2014,100+,3,Own,652977,9011.465439041767
2014,100+,3,Rent,160804,5398.194450945509
2014,100+,4,Own,31035,1809.379614399135
2014,100+,4,Rent,7152,980.6430835369855
2014,NA,2,Own,92,91.9999999999959
2014,NA,3,Rent,118,118.00000000000084
2015,0-30,1,Own,5931,910.6134374447239
2015,0-30,1,Rent,10059,1348.913297263589
2015,0-30,2,Own,6964,987.6472464817679
2015,0-30,2,Rent,6507,1087.346740962384
2015,0-30,3,Own,69951,2910.0711533466892
2015,0-30,3,Rent,137307,4965.304919035888
2015,0-30,4,Own,3663,491.80712457613157
2015,0-30,4,Rent,6161,833.8069491672984
2015,30-50,1,Own,8282,1174.708103072102
2015,30-50,1,Rent,7450,1239.6596481943493
2015,30-50,2,Own,9496,1213.4426107382026
2015,30-50,2,Rent,6446,1099.6271376903894
2015,30-50,3,Own,84553,3262.46157192025
2015,30-50,3,Rent,114460,4556.397959383529
2015,30-50,4,Own,5345,712.3759569531104
2015,30-50,4,Rent,4232,806.0568929957125
2015,50-80,1,Own,13871,1473.2878169614526
2015,50-80,1,Rent,8226,1313.367462029215
2015,50-80,2,Own,13630,1310.770920027022
2015,50-80,2,Rent,10602,1404.6480899655473
2015,50-80,3,Own,167588,4833.009631447794
2015,50-80,3,Rent,149121,5288.072304348404
2015,50-80,4,Own,9677,930.317393781589
2015,50-80,4,Rent,7267,1363.956775225179
2015,80-100,1,Own,8762,1206.025790197304
2015,80-100,1,Rent,3939,719.966663100566
2015,80-100,2,Own,8714,1171.189980838628
2015,80-100,2,Rent,3880,826.7457034550904
2015,80-100,3,Own,113516,3806.675456488452
2015,80-100,3,Rent,69458,3573.1551274284698
2015,80-100,4,Own,5102,627.5349901681118
2015,80-100,4,Rent,1758,565.4392388429127
2015,100+,1,Own,50963,2687.4329572540605
2015,100+,1,Rent,11622,1574.7433222570974
2015,100+,2,Own,49662,2715.701899860259
2015,100+,2,Rent,14352,1761.3183929408137
2015,100+,3,Own,660052,8972.19195598788
2015,100+,3,Rent,169686,5480.754340627498
2015,100+,4,Own,29294,1825.2574808452746
2015,100+,4,Rent,6300,946.3030451111055
2015,NA,1,Own,202,202.0000000000008
2015,NA,3,Own,235,146.3998672435192
2015,NA,3,Rent,187,139.53122884409356
2015,NA,4,Own,44,35.440067901581934
2016,0-30,1,Own,6880,980.687394494672
2016,0-30,1,Rent,12249,1720.3405817836974
2016,0-30,2,Own,7414,1171.0358261734893
2016,0-30,2,Rent,7300,1101.0860321917166
2016,0-30,3,Own,69386,2965.5319293633866
2016,0-30,3,Rent,141318,5128.36147046276
2016,0-30,4,Own,5564,1018.6717653145943
2016,0-30,4,Rent,5839,1036.122545885209
2016,30-50,1,Own,9362,1030.463929121549
2016,30-50,1,Rent,8417,1219.317479155376
2016,30-50,2,Own,8540,1088.5194267240156
2016,30-50,2,Rent,8106,1332.7193193324736
2016,30-50,3,Own,93521,3556.2270517392976
2016,30-50,3,Rent,105789,4566.642204918065
2016,30-50,4,Own,5466,706.5164056464483
2016,30-50,4,Rent,5336,851.922084410473
2016,50-80,1,Own,14265,1378.4921061666532
2016,50-80,1,Rent,7100,1110.375260975435
2016,50-80,2,Own,14817,1616.46363452821
2016,50-80,2,Rent,5605,910.8115122768864
2016,50-80,3,Own,164156,4619.454595908038
2016,50-80,3,Rent,146907,5226.561289340823
2016,50-80,4,Own,8411,804.91700986106
2016,50-80,4,Rent,6154,980.4131019491616
2016,80-100,1,Own,8957,1173.7644409934037
2016,80-100,1,Rent,5725,1104.3692081747774
2016,80-100,2,Own,9839,1185.9352160088583
2016,80-100,2,Rent,4117,819.0659344982134
2016,80-100,3,Own,120754,3838.798112335384
2016,80-100,3,Rent,71527,3492.4627997592906
2016,80-100,4,Own,5139,598.7104450324548
2016,80-100,4,Rent,2631,603.1912572361645
2016,100+,1,Own,47740,2637.615357780196
2016,100+,1,Rent,12301,1617.774996291026
2016,100+,2,Own,51294,2818.797188261374
2016,100+,2,Rent,11233,1428.8384299454372
2016,100+,3,Own,685986,9151.885930913337
2016,100+,3,Rent,164429,5241.835624966656
2016,100+,4,Own,31176,1865.3148783475224
2016,100+,4,Rent,7179,993.8153826929292
2016,NA,1,Own,22,21.99999999999946
2016,NA,1,Rent,68,68.00000000000082
2016,NA,3,Own,269,183.46364672300206
2016,NA,3,Rent,631,422.84806728913753
2016,NA,4,Rent,32,31.99999999999901
2017,0-30,1,Own,6113,970.1030756680927
2017,0-30,1,Rent,7837,1191.172095078282
2017,0-30,2,Own,7817,1126.6141049993419
2017,0-30,2,Rent,5673,904.5937179684171
2017,0-30,3,Own,84078,3431.2059247734287
2017,0-30,3,Rent,133942,4794.840188266769
2017,0-30,4,Own,4598,700.3026488017891
2017,0-30,4,Rent,7564,1237.9305467103002
2017,30-50,1,Own,7999,1031.5009180866548
2017,30-50,1,Rent,7448,1132.3124650947723
2017,30-50,2,Own,8714,1062.824259308541
2017,30-50,2,Rent,5518,982.561543413568
2017,30-50,3,Own,92321,3559.052317564603
2017,30-50,3,Rent,111242,4434.095963233043
2017,30-50,4,Own,5295,829.2955844860046
2017,30-50,4,Rent,4339,888.2076891646145
2017,50-80,1,Own,15619,1562.9002885128975
2017,50-80,1,Rent,8292,1259.1994363722022
2017,50-80,2,Own,15824,1639.815185374094
2017,50-80,2,Rent,10488,1431.1876340560086
2017,50-80,3,Own,171139,4718.623862260968
2017,50-80,3,Rent,142961,5207.260904508319
2017,50-80,4,Own,7451,914.2534510089624
2017,50-80,4,Rent,6604,1005.6940727057888
2017,80-100,1,Own,8865,1097.7278290717647
2017,80-100,1,Rent,3722,806.4807402225391
2017,80-100,2,Own,8996,1079.6109639828137
2017,80-100,2,Rent,3699,966.9432490642472
2017,80-100,3,Own,129012,4076.836922124733
2017,80-100,3,Rent,75447,3682.046559965249
2017,80-100,4,Own,5336,722.5501799084974
2017,80-100,4,Rent,3407,657.5263619873415
2017,100+,1,Own,53886,2731.624085752263
2017,100+,1,Rent,14149,1745.9458351753237
2017,100+,2,Own,51506,2799.4678902571923
2017,100+,2,Rent,10417,1471.4220267206845
2017,100+,3,Own,684866,9097.910052697916
2017,100+,3,Rent,167891,5393.243849197272
2017,100+,4,Own,30048,1701.9551767336113
2017,100+,4,Rent,8349,1115.144478687994
2017,NA,2,Own,118,102.42066190465577
2017,NA,3,Own,338,172.2840753839448
2017,NA,3,Rent,163,115.74527746881988
2017,NA,4,Own,101,76.55710202436202
2018,0-30,1,Own,7010,1047.2802234363319
2018,0-30,1,Rent,10025,1743.7074086655387
2018,0-30,2,Own,7760,1073.0284892853783
2018,0-30,2,Rent,6028,1098.0519130288242
2018,0-30,3,Own,80151,3348.9116236862983
2018,0-30,3,Rent,137742,5140.776091423908
2018,0-30,4,Own,4917,735.3066250340739
2018,0-30,4,Rent,5683,978.9810297269768
2018,30-50,1,Own,9471,1264.0812351689137
2018,30-50,1,Rent,7235,1092.9874719914717
2018,30-50,2,Own,6865,965.6257963180265
